This is a backup of mpql’s ID list : https://mpql.net/tools/acnh/codes/item-list/
—————
Empty, FFFE
fireplace, 02E6 [Ftr_00742]
frozen mini snowperson, 02E7 [Ftr_00743] DIY: 0427
compact kitchen, 02E8 [Ftr_00744]
tape deck, 0313 [Ftr_00787]
hi-fi stereo, 0316 [Ftr_00790]
jukebox, 0317 [Ftr_00791]
high-end stereo, 0319 [Ftr_00793]
phonograph, 031A [Ftr_00794]
retro stereo, 031C [Ftr_00796]
mush lamp, 0325 [Ftr_00805] DIY: 0033
mush table, 0328 [Ftr_00808] DIY: 0020
modern office chair, 0340 [Ftr_00832]
upright locker, 0341 [Ftr_00833]
safe, 0347 [Ftr_00839]
office desk, 0348 [Ftr_00840]
alto saxophone, 034E [Ftr_00846]
amp, 0351 [Ftr_00849]
billiard table, 035F [Ftr_00863]
bingo wheel, 0360 [Ftr_00864]
birdcage, 0361 [Ftr_00865] DIY: 00D8
blossom lantern, 0363 [Ftr_00867]
book stands, 0366 [Ftr_00870]
breaker, 036B [Ftr_00875]
wooden bucket, 0370 [Ftr_00880] DIY: 0010
camp stove, 0379 [Ftr_00889]
holiday candle, 037B [Ftr_00891] DIY: 0174
cat tower, 0380 [Ftr_00896]
vacuum cleaner, 038B [Ftr_00907]
upright vacuum, 038C [Ftr_00908]
cuckoo clock, 0393 [Ftr_00915]
coffee cup, 0396 [Ftr_00918]
coffee grinder, 0398 [Ftr_00920]
stacked bottle crates, 039A [Ftr_00922] DIY: 0426
pot rack, 03A0 [Ftr_00928]
air conditioner, 03A1 [Ftr_00929]
cornucopia, 03A3 [Ftr_00931]
dartboard, 03A9 [Ftr_00937]
DJ's turntable, 03AD [Ftr_00941]
effects rack, 03B6 [Ftr_00950]
espresso maker, 03BA [Ftr_00954]
exit sign, 03BB [Ftr_00955]
ventilation fan, 03BD [Ftr_00957]
fire hydrant, 03C3 [Ftr_00963]
flower bed, 03C7 [Ftr_00967]
floor monitor, 03C9 [Ftr_00969]
snack machine, 03CB [Ftr_00971]
fruit basket, 03CF [Ftr_00975] DIY: 0038
go board, 03D5 [Ftr_00981]
harp, 03DB [Ftr_00987]
hinaningyo, 03DC [Ftr_00988]
incense burner, 03E5 [Ftr_00997]
kitchen island, 03E6 [Ftr_00998]
kadomatsu, 03EC [Ftr_01004]
kagamimochi, 03ED [Ftr_01005]
karaoke system, 03F1 [Ftr_01009]
carp banner, 03F8 [Ftr_01016]
first-aid kit, 03FB [Ftr_01019]
pile of leaves, 03FF [Ftr_01023] DIY: 024A
low screen, 0405 [Ftr_01029]
magazine rack, 0408 [Ftr_01032] DIY: 019D
metronome, 0412 [Ftr_01042]
microwave, 0413 [Ftr_01043]
silver mic, 0415 [Ftr_01045]
mixer, 041A [Ftr_01050]
water bird, 041B [Ftr_01051]
moon, 041E [Ftr_01054] DIY: 00EA
music stand, 0422 [Ftr_01058] DIY: 00D7
rope partition, 0430 [Ftr_01072]
upright piano, 0439 [Ftr_01081]
picnic basket, 043A [Ftr_01082]
pinball machine, 043F [Ftr_01087]
popcorn machine, 0444 [Ftr_01092]
rocking chair, 044F [Ftr_01103] DIY: 0039
retro TV, 0454 [Ftr_01108]
mochi pestle, 0456 [Ftr_01110]
outdoor bath, 0457 [Ftr_01111] DIY: 019A
colorful wheel, 0458 [Ftr_01112]
sandbox, 045C [Ftr_01116]
sand castle, 045D [Ftr_01117]
scarecrow, 0460 [Ftr_01120] DIY: 028F
sea globe, 0464 [Ftr_01124]
revolving spice rack, 0465 [Ftr_01125]
server, 0466 [Ftr_01126]
old sewing machine, 0467 [Ftr_01127]
sewing machine, 0468 [Ftr_01128]
outdoor air conditioner, 046B [Ftr_01131]
shopping cart, 046D [Ftr_01133]
ski rack, 0475 [Ftr_01141]
smoker, 0477 [Ftr_01143]
snow globe, 0479 [Ftr_01145]
soccer goal, 047D [Ftr_01149]
spinning wheel, 0481 [Ftr_01153]
brick oven, 0485 [Ftr_01157] DIY: 003A
cream and sugar, 0489 [Ftr_01161]
surveillance camera, 048D [Ftr_01165]
swinging bench, 0492 [Ftr_01170] DIY: 003B
synthesizer, 0493 [Ftr_01171]
foosball table, 0499 [Ftr_01177]
tennis table, 049D [Ftr_01181]
bamboo grass, 049E [Ftr_01182]
phone box, 04A1 [Ftr_01185]
telescope, 04A2 [Ftr_01186]
tire stack, 04A5 [Ftr_01189] DIY: 003C
tricycle, 04AF [Ftr_01199]
gold fish trophy, 04B0 [Ftr_01200]
silver fish trophy, 04B1 [Ftr_01201]
bronze fish trophy, 04B2 [Ftr_01202]
gold bug trophy, 04B3 [Ftr_01203]
silver bug trophy, 04B4 [Ftr_01204]
bronze bug trophy, 04B5 [Ftr_01205]
trumpet, 04B6 [Ftr_01206]
typewriter, 04BB [Ftr_01211]
standing toilet, 04C1 [Ftr_01217]
video camera, 04C5 [Ftr_01221]
TV with VCR, 04C6 [Ftr_01222]
deluxe washer, 04CB [Ftr_01227]
bathroom sink, 04CD [Ftr_01229]
water cooler, 04D0 [Ftr_01232]
portable toilet, 04D2 [Ftr_01234]
bathroom stall, 04D3 [Ftr_01235]
DIY workbench, 04D9 [Ftr_01241] DIY: 0107
flashy-flower sign, 04DB [Ftr_01243]
pear wardrobe, 04EF [Ftr_01263] DIY: 0009
barrel, 04F2 [Ftr_01266] DIY: 00A5
pirate-ship cannon, 04F4 [Ftr_01268]
pirate-ship helm, 04F9 [Ftr_01273]
cacao tree, 04FD [Ftr_01277]
fan palm, 0508 [Ftr_01288]
school chair, 051C [Ftr_01308]
handwashing area, 0522 [Ftr_01314]
anatomical model, 0525 [Ftr_01317]
microscope, 0527 [Ftr_01319]
skeleton, 052E [Ftr_01326]
school desk, 0530 [Ftr_01328]
podium, 0531 [Ftr_01329]
basic teacher's desk, 0532 [Ftr_01330]
hamster cage, 0544 [Ftr_01348]
globe, 0583 [Ftr_01411]
TV camera, 0584 [Ftr_01412]
campfire, 0595 [Ftr_01429] DIY: 000D
bonfire, 0596 [Ftr_01430] DIY: 0022
lantern, 0598 [Ftr_01432]
campfire cookware, 0599 [Ftr_01433]
sleeping bag, 059A [Ftr_01434]
asteroid, 059F [Ftr_01439] DIY: 00EB
lunar lander, 05A0 [Ftr_01440] DIY: 0182
rocket, 05A1 [Ftr_01441] DIY: 0199
lunar rover, 05A2 [Ftr_01442] DIY: 0175
satellite, 05A3 [Ftr_01443] DIY: 017B
space shuttle, 05A4 [Ftr_01444] DIY: 017D
astronaut suit, 05A5 [Ftr_01445] DIY: 00EC
flying saucer, 05A7 [Ftr_01447] DIY: 00E9
cello, 05A9 [Ftr_01449]
weight bench, 05AC [Ftr_01452]
judge's bell, 05B0 [Ftr_01456]
stroller, 05D5 [Ftr_01493]
dolly, 05D7 [Ftr_01495]
Papa bear, 05DB [Ftr_01499]
Mama bear, 05DC [Ftr_01500]
Baby bear, 05DD [Ftr_01501]
giant teddy bear, 05E0 [Ftr_01504] DIY: 0241
plaza teacup ride, 05E3 [Ftr_01507]
robot hero, 05E5 [Ftr_01509] DIY: 0252
wooden-block bed, 0615 [Ftr_01557] DIY: 003D
wooden-block bookshelf, 0616 [Ftr_01558] DIY: 003E
wooden-block bench, 0617 [Ftr_01559] DIY: 0017
wooden-block chest, 0619 [Ftr_01561] DIY: 0018
wooden-block table, 061D [Ftr_01565] DIY: 001A
oil barrel, 061F [Ftr_01567]
dharma, 0625 [Ftr_01573] DIY: 0338
exercise ball, 063E [Ftr_01598]
serving cart, 0646 [Ftr_01606]
vertical banner, 0648 [Ftr_01608]
hammock, 0654 [Ftr_01620]
lawn chair, 0655 [Ftr_01621]
garden gnome, 0658 [Ftr_01624]
iron garden bench, 0659 [Ftr_01625] DIY: 003F
iron garden chair, 065A [Ftr_01626] DIY: 0040
iron garden table, 065B [Ftr_01627] DIY: 0041
garden lantern, 065C [Ftr_01628]
garden faucet, 065F [Ftr_01631]
golf bag, 0660 [Ftr_01632]
rock guitar, 066C [Ftr_01644]
electric guitar, 066D [Ftr_01645]
matryoshka, 0674 [Ftr_01652] DIY: 0193
cassette player, 06AC [Ftr_01708]
poster stand, 06B0 [Ftr_01712]
display stand, 06B4 [Ftr_01716]
wall clock, 06D0 [Ftr_01744]
copy machine, 06D1 [Ftr_01745]
document stack, 06D6 [Ftr_01750] DIY: 01CE
aroma pot, 06D9 [Ftr_01753] DIY: 001E
claw-foot tub, 06DD [Ftr_01757]
stack of books, 06DF [Ftr_01759] DIY: 00C4
clothesline pole, 06F2 [Ftr_01778]
table with cloth, 06F3 [Ftr_01779]
corkboard, 06F7 [Ftr_01783]
cushion, 0700 [Ftr_01792]
decoy duck, 0705 [Ftr_01797] DIY: 0186
dinnerware, 0706 [Ftr_01798]
doghouse, 0707 [Ftr_01799] DIY: 000E
drink machine, 070A [Ftr_01802]
drum set, 070B [Ftr_01803]
electric bass, 070C [Ftr_01804]
changing room, 0718 [Ftr_01816]
stack of clothes, 071C [Ftr_01820]
trash bags, 071F [Ftr_01823] DIY: 0042
cypress plant, 0725 [Ftr_01829]
humidifier, 072C [Ftr_01836]
ironing set, 072E [Ftr_01838]
whirlpool bath, 0730 [Ftr_01840]
simple kettle, 0735 [Ftr_01845]
kotatsu, 0739 [Ftr_01849]
laptop, 073A [Ftr_01850]
rocket lamp, 073B [Ftr_01851]
box sofa, 073C [Ftr_01852]
box corner sofa, 073D [Ftr_01853]
stacked magazines, 0745 [Ftr_01861] DIY: 00C5
menu chalkboard, 074A [Ftr_01866]
desk mirror, 074C [Ftr_01868]
mug, 074E [Ftr_01870]
grand piano, 0753 [Ftr_01875]
piggy bank, 0755 [Ftr_01877]
plastic canister, 0759 [Ftr_01881]
rice cooker, 0760 [Ftr_01888]
ring, 0761 [Ftr_01889]
hourglass, 0764 [Ftr_01892]
autograph cards, 076B [Ftr_01899]
snare drum, 0772 [Ftr_01906]
wooden chair, 0779 [Ftr_01913] DIY: 000F
toilet, 0789 [Ftr_01929]
ball, 07DA [Ftr_02010]
chalkboard, 07DC [Ftr_02012]
lecture-hall bench, 07DD [Ftr_02013]
lecture-hall desk, 07DE [Ftr_02014]
director's chair, 07E4 [Ftr_02020]
drinking f…DIY: 03A7
mushroom curry, 3730 [Dishes_14128] DIY: 03A8
pancakes, 3731 [Dishes_14129] DIY: 03A9
coconut pancakes, 3732 [Dishes_14130] DIY: 03AA
potato galette, 3733 [Dishes_14131] DIY: 03AB
fruit-topped pancakes, 3734 [Dishes_14132] DIY: 03AC
pesce all'acqua pazza, 3751 [Dishes_14161] DIY: 03AD
karei no nitsuke, 3752 [Dishes_14162] DIY: 03AE
aji fry, 3753 [Dishes_14163] DIY: 03AF
sautéed olive flounder, 3754 [Dishes_14164] DIY: 03B0
grilled sea bass with herbs, 3755 [Dishes_14165] DIY: 03B1
carpaccio di salmone, 3756 [Dishes_14166] DIY: 03B2
carpaccio di marlin blu, 3757 [Dishes_14167] DIY: 03B3
barred-knifejaw carpaccio, 3758 [Dishes_14168] DIY: 03B4
orange marmalade, 3759 [Dishes_14169] DIY: 03B5
peach jam, 375A [Dishes_14170] DIY: 03B6
pear jam, 375B [Dishes_14171] DIY: 03B7
carpaccio di capesante, 375C [Dishes_14172] DIY: 03B8
cherry jam, 375D [Dishes_14173] DIY: 03B9
pickled veggies, 375E [Dishes_14174] DIY: 03BA
tomato puree, 375F [Dishes_14175] DIY: 03BB
apple jam, 3760 [Dishes_14176] DIY: 03BC
coconut oil, 3761 [Dishes_14177] DIY: 03BD
anchoas al ajillo, 3762 [Dishes_14178] DIY: 03BE
tomates al ajillo, 3763 [Dishes_14179] DIY: 03BF
champiñones al ajillo, 3764 [Dishes_14180] DIY: 03C0
sardines in oil, 3765 [Dishes_14181] DIY: 03C1
pull-apart bread, 3766 [Dishes_14182] DIY: 03C2
seafood ajillo, 3767 [Dishes_14183] DIY: 03C3
jarred mushrooms, 3769 [Dishes_14185] DIY: 03C4
jarred bamboo shoots, 376A [Dishes_14186] DIY: 03C5
baked potatoes, 3881 [Dishes_14465] DIY: 03C6
pizza margherita, 3882 [Dishes_14466] DIY: 03C7
spooky cookies, 38D8 [Dishes_14552] DIY: 03F8
Roost sablé cookie, 38E5 [Dishes_14565] DIY: 03FA
seafood pizza, 3968 [Dishes_14696] DIY: 03C8
fruit pizza, 3969 [Dishes_14697] DIY: 03C9
mushroom pizza, 396A [Dishes_14698] DIY: 03CA
cake salé, 397C [Dishes_14716] DIY: 040E
 
STR_ItemName_19_Umbrella
Toad parasol, 16E5 [Umbrella_05861]
leaf umbrella, 1AB8 [Umbrella_06840] DIY: 01C8
sunny parasol, 1AF8 [Umbrella_06904]
snowflake umbrella, 1AF9 [Umbrella_06905]
hydrangea umbrella, 1AFA [Umbrella_06906]
strawberry umbrella, 1AFB [Umbrella_06907]
kiwi umbrella, 1AFC [Umbrella_06908]
watermelon umbrella, 1AFD [Umbrella_06909]
pineapple umbrella, 1AFE [Umbrella_06910]
grape umbrella, 1AFF [Umbrella_06911]
orange umbrella, 1B00 [Umbrella_06912] DIY: 0271
raindrop umbrella, 1B01 [Umbrella_06913]
mini-flower-print umbrella, 1B02 [Umbrella_06914]
black lace umbrella, 1B03 [Umbrella_06915]
striped umbrella, 1B04 [Umbrella_06916]
tartan-check umbrella, 1B05 [Umbrella_06917]
patterned vinyl umbrella, 1B06 [Umbrella_06918]
bat umbrella, 1B07 [Umbrella_06919]
camo umbrella, 1B0B [Umbrella_06923]
ghost umbrella, 1B0C [Umbrella_06924]
frog umbrella, 1B0D [Umbrella_06925]
candy umbrella, 1B0E [Umbrella_06926]
pink umbrella, 1BFC [Umbrella_07164]
vinyl umbrella, 1BFD [Umbrella_07165]
two-tone umbrella, 1BFE [Umbrella_07166]
bear umbrella, 1BFF [Umbrella_07167]
maple-leaf umbrella, 1C01 [Umbrella_07169] DIY: 021D
panda umbrella, 1C02 [Umbrella_07170]
exquisite parasol, 1C03 [Umbrella_07171]
logo umbrella, 1C04 [Umbrella_07172]
spider umbrella, 1C05 [Umbrella_07173]
mush umbrella, 1C06 [Umbrella_07174] DIY: 0288
fairy-tale umbrella, 1C07 [Umbrella_07175]
pink shiny-bows parasol, 1C08 [Umbrella_07176]
kabuki umbrella, 1C09 [Umbrella_07177]
paper parasol, 1C0A [Umbrella_07178]
rainbow umbrella, 1C0B [Umbrella_07179]
gelato umbrella, 1C0C [Umbrella_07180]
petal parasol, 1C0D [Umbrella_07181]
busted umbrella, 1C0E [Umbrella_07182]
purple chic umbrella, 1C0F [Umbrella_07183]
ladybug umbrella, 223F [Umbrella_08767]
fish umbrella, 2240 [Umbrella_08768]
DAL umbrella, 2558 [Umbrella_09560]
Nook Inc. umbrella, 2559 [Umbrella_09561]
cherry-blossom umbrella, 26D9 [Umbrella_09945] DIY: 0275
lacy parasol, 26DA [Umbrella_09946]
peach umbrella, 26DB [Umbrella_09947] DIY: 026C
apple umbrella, 26DC [Umbrella_09948] DIY: 026F
cherry umbrella, 26DD [Umbrella_09949] DIY: 0266
pear umbrella, 26DE [Umbrella_09950] DIY: 0269
melon umbrella, 26DF [Umbrella_09951]
mint umbrella, 26E0 [Umbrella_09952]
picnic umbrella, 26E1 [Umbrella_09953]
lemon umbrella, 26E2 [Umbrella_09954]
eggy parasol, 26E3 [Umbrella_09955]
blue dot parasol, 26E4 [Umbrella_09956]
beach umbrella, 26E5 [Umbrella_09957]
red umbrella, 26E6 [Umbrella_09958]
blue umbrella, 26E7 [Umbrella_09959]
green umbrella, 26E8 [Umbrella_09960]
purple shiny-bows parasol, 2F65 [Umbrella_12133]
blue shiny-bows parasol, 2F66 [Umbrella_12134]
white shiny-bows parasol, 2F67 [Umbrella_12135]
green chic umbrella, 2F68 [Umbrella_12136]
black chic umbrella, 2F69 [Umbrella_12137]
red chic umbrella, 2F6A [Umbrella_12138]
Paradise Planning umbrella, 3880 [Umbrella_14464]
 
STR_ItemName_20_Tool
shovel, 0833 [Shovel_02099] DIY: 0119
axe, 0834 [Axe_02100] DIY: 010F
flimsy net, 0948 [Net_02376] DIY: 0016
fishing rod, 0949 [FishingRod_02377] DIY: 011A
watering can, 094B [Watering_02379] DIY: 0118
cliff construction permit, 09EF [CliffMaker_02543]
star wand, 09F0 [ChangeStick_02544] DIY: 020B
ladder, 0A37 [Ladder_02615] DIY: 006B
slingshot, 0B06 [Slingshot_02822] DIY: 001D
flimsy axe, 0BFC [Axe_03068] DIY: 000A
path construction permit, 0C03 [GroundMaker_03075]
flimsy shovel, 0C0A [Shovel_03082] DIY: 0013
flimsy watering can, 0C0B [Watering_03083] DIY: 0014
flimsy fishing rod, 0C0C [FishingRod_03084] DIY: 0015
waterscaping permit, 0CAF [RiverMaker_03247]
timer, 0D03 [Timer_03331]
vaulting pole, 125F [WoodenStickTool_04703] DIY: 00B7
hyacinth wand, 13DB [ChangeStick_05083] DIY: 020C
windflower wand, 13DC [ChangeStick_05084] DIY: 020D
tulip wand, 13DD [ChangeStick_05085] DIY: 020E
pansy wand, 13E3 [ChangeStick_05091] DIY: 020F
cosmos wand, 13E4 [ChangeStick_05092] DIY: 0210
rose wand, 13E5 [ChangeStick_05093] DIY: 0211
lily wand, 13E6 [ChangeStick_05094] DIY: 0212
mums wand, 13E7 [ChangeStick_05095] DIY: 0213
net, 1698 [Net_05784] DIY: 011B
stone axe, 16E0 [Axe_05856] DIY: 011D
wand, 1DA0 [ChangeStick_07584] DIY: 0214
ice wand, 1DA1 [ChangeStick_07585] DIY: 0215
shell wand, 1DA2 [ChangeStick_07586] DIY: 0216
tree-branch wand, 1DA3 [ChangeStick_07587] DIY: 0217
mushroom wand, 1DA4 [ChangeStick_07588] DIY: 0218
cherry-blossom wand, 1DA5 [ChangeStick_07589] DIY: 0219
bamboo wand, 1DA6 [ChangeStick_07590] DIY: 021A
golden wand, 1DA7 [ChangeStick_07591] DIY: 021B
iron wand, 1DA8 [ChangeStick_07592] DIY: 021C
star net, 1FF0 [Net_08176]
colorful net, 1FF1 [Net_08177]
outdoorsy net, 1FF2 [Net_08178]
golden net, 1FF3 [Net_08179] DIY: 0292
fish fishing rod, 2117 [FishingRod_08471]
colorful fishing rod, 2118 [FishingRod_08472]
outdoorsy fishing rod, 2119 [FishingRod_08473]
golden watering can, 2155 [Watering_08533] DIY: 0293
colorful watering can, 2156 [Watering_08534]
elephant watering can, 2157 [Watering_08535]
outdoorsy watering can, 2158 [Watering_08536]
golden shovel, 217E [Shovel_08574] DIY: 0294
outdoorsy shovel, 217F [Shovel_08575]
printed-design shovel, 2180 [Shovel_08576]
colorful shovel, 2181 [Shovel_08577]
golden slingshot, 2182 [Slingshot_08578] DIY: 0295
outdoorsy slingshot, 2183 [Slingshot_08579]
colorful slingshot, 2184 [Slingshot_08580]
golden rod, 21D4 [FishingRod_08660] DIY: 0296
bug wand, 2241 [ChangeStick_08769]
fish wand, 2242 [ChangeStick_08770]
golden axe, 2591 [Axe_09617] DIY: 0297
Bunny Day wand, 3122 [ChangeStick_12578] DIY: 02C7
worn axe, 3147 [Axe_12615]
wedding wand, 3197 [ChangeStick_12695] DIY: 02CB
ぞうきん, 3238 [SincerityTowel_12856]
Kiki & Lala wand, 3375 [ChangeStick_13173]
spooky wand, 33B5 [ChangeStick_13237] DIY: 02E0
shamrock wand, 379F [ChangeStick_14239] DIY: 0306
 
STR_ItemName_30_Insect
brown cicada, 0246 [Insect_00582]
tiger butterfly, 0247 [Insect_00583]
Rajah Brooke's birdwing, 0248 [Insect_00584]
red dragonfly, 0249 [Insect_00585]
Queen Alexandra's birdwing, 024A [Insect_00586]
pondskater, 024B [Insect_00587]
ant, 024C [Insect_00588]
pill bug, 024E [Insect_00590]
wharf roach, 024F [Insect_00591]
moth, 0250 [Insect_00592]
diving beetle, 0252 [Insect_00594]
darner dragonfly, 0253 [Insect_00595]
goliath beetle, 0254 [Insect_00596]
fly, 0255 [Insect_00597]
orchid mantis, 0256 [Insect_00598]
tiger beetle, 0257 [Insect_00599]
horned hercules, 0258 [Insect_00600]
evening cicada, 0259 [Insect_00601]
cyclommatus stag, 025A [Insect_00602]
firefly, 025B [Insect_00603]
dung beetle, 025C [Insect_00604]
rice grasshopper, 025D [Insect_00605]
mosquito, 025E [Insect_00606]
mantis, 025F [Insect_00607]
stinkbug, 0260 [Insect_00608]
citrus long-horned beetle, 0261 [Insect_00609]
peacock butterfly, 0262 [Insect_00610]
snail, 0263 [Insect_00611]
horned dynastid, 0264 [Insect_00612]
grasshopper, 0265 [Insect_00613]
earth-boring dung beetle, 0266 [Insect_00614]
horned atlas, 0267 [Insect_00615]
walking leaf, 0268 [Insect_00616]
cricket, 0269 [Insect_00617]
giant cicada, 026A [Insect_00618]
spider, 026B [Insect_00619]
agrias butterfly, 026C [Insect_00620]
robust cicada, 026D [Insect_00621]
bagworm, 026E [Insect_00622]
honeybee, 026F [Insect_00623]
miyama stag, 0270 [Insect_00624]
yellow butterfly, 0271 [Insect_00625]
common butterfly, 0272 [Insect_00626]
emperor butterfly, 0273 [Insect_00627]
centipede, 0274 [Insect_00628]
walking stick, 0276 [Insect_00630]
rainbow stag, 0277 [Insect_00631]
saw stag, 0278 [Insect_00632]
flea, 0279 [Insect_00633]
mole cricket, 027A [Insect_00634]
banded dragonfly, 027B [Insect_00635]
monarch butterfly, 027C [Insect_00636]
giant stag, 027D [Insect_00637]
golden stag, 027E [Insect_00638]
scarab beetle, 027F [Insect_00639]
scorpion, 0280 [Insect_00640]
cicada shell, 0281 [Insect_00641]
bell cricket, 0282 [Insect_00642]
wasp, 0283 [Insect_00643]
long locust, 0284 [Insect_00644]
jewel beetle, 0285 [Insect_00645]
tarantula, 0286 [Insect_00646]
ladybug, 0287 [Insect_00647]
migratory locust, 0288 [Insect_00648]
walker cicada, 0289 [Insect_00649]
violin beetle, 028A [Insect_00650]
hermit crab, 028B [Insect_00651]
Atlas moth, 028C [Insect_00652]
horned elephant, 028D [Insect_00653]
common bluebottle, 0D95 [Insect_03477]
paper kite butterfly, 0D96 [Insect_03478]
great purple emperor, 0D97 [Insect_03479]
drone beetle, 0D98 [Insect_03480]
giraffe stag, 0D9A [Insect_03482]
man-faced stink bug, 0D9B [Insect_03483]
Madagascan sunset moth, 0D9C [Insect_03484]
blue weevil beetle, 0D9D [Insect_03485]
rosalia batesi beetle, 0D9F [Insect_03487]
giant water bug, 1425 [Insect_05157]
damselfly, 14DB [Insect_05339]
 
STR_ItemName_31_Fish
crucian carp, 0148 [Fish_00328]
goldfish, 0149 [Fish_00329]
bitterling, 08A7 [Fish_02215]
pale chub, 08A8 [Fish_02216]
dace, 08A9 [Fish_02217]
carp, 08AB [Fish_02219]
koi, 08AC [Fish_02220]
pop-eyed goldfish, 08AD [Fish_02221]
killifish, 08AE [Fish_02222]
crawfish, 08AF [Fish_02223]
soft-shelled turtle, 08B0 [Fish_02224]
tadpole, 08B1 [Fish_02225]
frog, 08B2 [Fish_02226]
freshwater goby, 08B3 [Fish_02227]
loach, 08B4 [Fish_02228]
catfish, 08B5 [Fish_02229]
giant snakehead, 08B7 [Fish_02231]
bluegill, 08B8 [Fish_02232]
yellow perch, 08B9 [Fish_02233]
black bass, 08BA [Fish_02234]
pike, 08BB [Fish_02235]
pond smelt, 08BC [Fish_02236]
sweetfish, 08BD [Fish_02237]
cherry salmon, 08BE [Fish_02238]
char, 08BF [Fish_02239]
stringfish, 08C1 [Fish_02241]
salmon, 08C2 [Fish_02242]
king salmon, 08C3 [Fish_02243]
mitten crab, 08C4 [Fish_02244]
guppy, 08C5 [Fish_02245]
nibble fish, 08C6 [Fish_02246]
angelfish, 08C7 [Fish_02247]
neon tetra, 08C8 [Fish_02248]
piranha, 08C9 [Fish_02249]
arowana, 08CA [Fish_02250]
dorado, 08CB [Fish_02251]
gar, 08CC [Fish_02252]
arapaima, 08CD [Fish_02253]
saddled bichir, 08CE [Fish_02254]
sea butterfly, 08CF [Fish_02255]
sea horse, 08D0 [Fish_02256]
clown fish, 08D1 [Fish_02257]
surgeonfish, 08D2 [Fish_02258]
butterfly fish, 08D3 [Fish_02259]
Napoleonfish, 08D4 [Fish_02260]
zebra turkeyfish, 08D5 [Fish_02261]
blowfish, 08D6 [Fish_02262]
puffer fish, 08D7 [Fish_02263]
horse mackerel, 08D8 [Fish_02264]
barred knifejaw, 08D9 [Fish_02265]
sea bass, 08DA [Fish_02266]
red snapper, 08DB [Fish_02267]
dab, 08DC [Fish_02268]
olive flounder, 08DD [Fish_02269]
squid, 08DE [Fish_02270]
moray eel, 08DF [Fish_02271]
ribbon eel, 08E0 [Fish_02272]
football fish, 08E1 [Fish_02273]
tuna, 08E2 [Fish_02274]
blue marlin, 08E3 [Fish_02275]
giant trevally, 08E4 [Fish_02276]
ray, 08E5 [Fish_02277]
